iter	Passed	Remaining
0	3157	628267
1	5898	583915
2	8366	549402
3	10806	529534
4	13233	516089
5	15600	504431
6	18108	499286
7	20614	494759
8	23019	488522
9	25455	483660
10	27896	479306
11	30392	476142
12	32788	471643
13	35267	468558
14	38081	469677
15	40829	469533
16	43946	473069
17	46475	469914
18	49130	468033
19	52066	468594
20	55193	470455
21	59345	480162
22	62632	482000
23	66059	484437
24	68929	482507
25	71867	480959
26	74506	477395
27	77113	473695
28	79732	470148
29	82162	465587
30	84766	462113
31	87290	458277
32	89841	454650
33	92500	451618
34	94921	447485
35	97543	444364
36	100017	440617
37	102527	437091
38	105037	433615
39	107794	431177
40	110499	428520
41	112541	423368
42	114662	418649
43	116653	413590
44	118711	408895
45	121319	406154
46	123821	403078
47	126635	401012
48	129710	399718
49	132580	397741
50	134860	394004
51	137451	391207
52	139934	388120
53	142367	384919
54	144930	382090
55	147325	378837
56	149508	375081
57	152024	372198
58	154565	369386
59	157080	366520
60	159425	363281
61	162022	360631
62	164465	357646
63	166805	354461
64	169315	351655
65	171880	348968
66	174535	346466
67	177036	343659
68	179737	341240
69	181980	337963
70	184344	334936
71	186483	331526
72	189157	329082
73	191472	326020
74	194269	323783
75	196808	321107
76	199667	318949
77	202234	316314
78	205216	314318
79	207574	311361
80	210063	308611
81	212588	305920
82	214494	302359
83	216881	299502
84	219407	296845
85	221829	294052
86	224329	291370
87	226708	288538
88	229215	285875
89	231637	283112
90	234184	280506
91	236480	277608
92	238907	274872
93	241325	272133
94	243687	269339
95	246088	266596
96	248455	263824
97	251011	261256
98	253437	258556
99	255860	255860
100	258358	253242
101	260883	250652
102	263281	247944
103	265629	245196
104	267988	242465
105	270351	239745
106	272727	237043
107	275198	234428
108	277794	231920
109	280320	229353
110	282792	226743
111	285204	224089
112	287596	221423
113	290144	218880
114	292383	216109
115	294391	213180
116	296961	210665
117	299806	208339
118	302369	205814
119	304895	203263
120	307345	200663
121	309758	198042
122	312232	195462
123	314784	192932
124	317061	190237
125	319134	187428
126	321623	184870
127	324225	182376
128	326708	179816
129	329319	177325
130	331926	174831
131	334085	172104
132	336562	169546
133	338996	166968
134	341312	164335
135	343624	161705
136	346127	159168
137	348645	156637
138	351209	154127
139	353551	151522
140	355895	148921
141	358405	146391
142	360736	143790
143	362769	141077
144	365238	138538
145	367583	135955
146	370239	133487
147	372876	131010
148	375398	128492
149	377745	125915
150	380075	123335
151	382278	120719
152	384398	118083
153	386831	115546
154	388917	112911
155	391207	110340
156	393595	107800
157	396071	105284
158	398521	102763
159	401096	100274
160	403840	97824
161	406243	95291
162	408288	92678
163	410814	90178
164	413418	87694
165	416333	85273
166	418624	82722
167	420848	80161
168	423426	77669
169	425950	75167
170	428185	72616
171	430228	70037
172	432443	67491
173	434664	64949
174	436769	62395
175	438601	59809
176	441109	57319
177	443460	54809
178	445881	52310
179	448530	49836
180	451083	47351
181	453640	44865
182	456103	42370
183	458588	39877
184	461308	37403
185	464129	34934
186	466548	32433
187	469678	29979
188	472511	27500
189	474711	24984
190	477225	22487
191	479923	19996
192	482435	17497
193	484926	14997
194	487516	12500
195	490047	10000
196	492386	7498
197	495067	5000
198	497742	2501
199	500583	0
