iter	RMSE
0	1.147472138
1	1.082879137
2	1.027394876
3	0.980031748
4	0.9387429101
5	0.8998519566
6	0.8670047669
7	0.8360865891
8	0.8098315112
9	0.7873593759
10	0.7661908884
11	0.7490429756
12	0.733842533
13	0.7199893119
14	0.705151337
15	0.6877312814
16	0.6732733705
17	0.6608397788
18	0.6502567055
19	0.6413612994
20	0.6334157782
21	0.6267943124
22	0.6211516162
23	0.6162800373
24	0.6118040695
25	0.6078970707
26	0.6043093235
27	0.6010865533
28	0.5984577054
29	0.5961670884
30	0.5935795511
31	0.5917544496
32	0.5896895102
33	0.5881197415
34	0.5863158193
35	0.5850247922
36	0.5837184881
37	0.5827030533
38	0.581828305
39	0.5806550061
40	0.579770366
41	0.578766123
42	0.5775180792
43	0.5766398153
44	0.5748547659
45	0.5731838787
46	0.5724965169
47	0.5717295335
48	0.5710036111
49	0.5693491297
50	0.5687889876
51	0.5681465918
52	0.5669355177
53	0.5659973091
54	0.5654189046
55	0.5643401558
56	0.5633213542
57	0.5622628724
58	0.5616568426
59	0.5611429449
60	0.56049204
61	0.5600303734
62	0.5596365852
63	0.558893199
64	0.5583698214
65	0.5577506709
66	0.5570443813
67	0.5563334513
68	0.5560716133
69	0.5555075038
70	0.5551242572
71	0.5545726983
72	0.5540328064
73	0.5534131143
74	0.5530762076
75	0.5525462892
76	0.5521827613
77	0.5515215005
78	0.5509988276
79	0.5504535664
80	0.5499511611
81	0.5494225704
82	0.5489523611
83	0.5485452791
84	0.548079446
85	0.5477735225
86	0.5473568986
87	0.5469580238
88	0.5466603782
89	0.5464237387
90	0.5459683971
91	0.5456491399
92	0.5454136289
93	0.5449610975
94	0.5444946766
95	0.5442495831
96	0.5439690741
97	0.5436130747
98	0.543276325
99	0.5429347109
100	0.5426095391
101	0.5423634494
102	0.5421122524
103	0.5418451374
104	0.5413173594
105	0.540961016
106	0.5403770494
107	0.5398946163
108	0.5396250378
109	0.5393581342
110	0.5390017658
111	0.5387274983
112	0.5384303765
113	0.5382002821
114	0.5380211499
115	0.5377545592
116	0.5375530015
117	0.5372765129
118	0.5371529838
119	0.5368124977
120	0.5365532621
121	0.5362427165
122	0.535984299
123	0.5357558164
124	0.5354166523
125	0.5351622807
126	0.5350198821
127	0.5347088437
128	0.5344703237
129	0.534259898
130	0.5340411805
131	0.5337204047
132	0.5335124131
133	0.5333289168
134	0.5331278933
135	0.5328728002
136	0.5326797462
137	0.5324756076
138	0.5322879871
139	0.5321945229
140	0.5319978502
141	0.5317065443
142	0.5314979769
143	0.531294872
144	0.5312108066
145	0.5310206522
146	0.5307583177
147	0.5305946285
148	0.5303809663
149	0.5302128769
150	0.5299680987
151	0.52977187
152	0.5295445464
153	0.5292350173
154	0.5290313269
155	0.5288351592
156	0.5286354104
157	0.5284225607
158	0.528282139
159	0.5281110894
160	0.5279992322
161	0.5278240673
162	0.5276295859
163	0.5273385884
164	0.5270919189
165	0.5269312458
166	0.5267143937
167	0.5265328508
168	0.5263403995
169	0.5260595595
170	0.5258600356
171	0.5256737516
172	0.5254397605
173	0.5252849348
174	0.5250774527
175	0.5249154822
176	0.5247807488
177	0.5245932089
178	0.5244739275
179	0.5243358897
180	0.5241561964
181	0.5240141623
182	0.5239039426
183	0.5237297389
184	0.5235189498
185	0.5233944117
186	0.5232555971
187	0.5231183723
188	0.5229510666
189	0.5228048318
190	0.5227115002
191	0.5226290501
192	0.5224664444
193	0.5223851507
194	0.5222969051
195	0.5221615073
196	0.5219885803
197	0.5218884304
198	0.5217504516
199	0.5215611016
200	0.5214131446
201	0.5212339347
202	0.5210909639
203	0.5209522715
204	0.5207220897
205	0.5206196492
206	0.5204420879
207	0.5203004812
208	0.5201084616
209	0.5200364764
210	0.5199346038
211	0.5197749234
212	0.5196317619
213	0.5195077892
214	0.5193594487
215	0.5192573942
216	0.5190948318
217	0.5190117003
218	0.5189278097
219	0.5187695665
220	0.5186691713
221	0.518567974
222	0.5185192921
223	0.5183934084
224	0.5182354667
225	0.518103791
226	0.5179466088
227	0.5178447616
228	0.517747984
229	0.5176469538
230	0.517492705
231	0.5173601589
232	0.5172176745
233	0.5171216733
234	0.5170212559
235	0.5168545733
236	0.5167597392
237	0.5166237973
238	0.516452375
239	0.5163194408
240	0.516236268
241	0.5160917903
242	0.5159674573
243	0.5158359594
244	0.5156652694
245	0.5155829724
246	0.5154841984
247	0.515350855
248	0.5152742012
249	0.5151135497
250	0.5150278963
251	0.5149302146
252	0.5147900237
253	0.5146349938
254	0.5145439578
255	0.5144318216
256	0.5143185969
257	0.5142302911
258	0.514139667
259	0.5140679385
260	0.5139977802
261	0.513945262
262	0.5138466
263	0.5137395728
264	0.5136426339
265	0.513580439
266	0.5134686448
267	0.5133883117
268	0.5132648956
269	0.5131815011
270	0.5130541214
271	0.5129523547
272	0.5128437863
273	0.512714413
274	0.5126090216
275	0.5125242574
276	0.5124242087
277	0.5123019935
278	0.5122093128
279	0.5120912238
280	0.5120375728
281	0.5119853447
282	0.5119429429
283	0.5118817028
284	0.5117913134
285	0.5117085281
286	0.5116607742
287	0.511511429
288	0.5113125193
289	0.5112171979
290	0.511143772
291	0.5110879488
292	0.5110108279
293	0.5108816193
294	0.5107445411
295	0.5106694636
296	0.5106145346
297	0.5105658358
298	0.5104997399
299	0.5104260574
300	0.5103933251
301	0.5102988862
302	0.5101914363
303	0.5101072868
304	0.5100199239
305	0.5099180086
306	0.5098755884
307	0.5097831966
308	0.5096683828
309	0.5095577055
310	0.5094571042
311	0.5093925067
312	0.5093230388
313	0.5092255972
314	0.5090952934
315	0.5090122803
316	0.5089490907
317	0.5088523168
318	0.5087923738
319	0.508720535
320	0.50862291
321	0.5085268307
322	0.5084736357
323	0.5083584309
324	0.5082942224
325	0.5082577055
326	0.5081902137
327	0.50814868
328	0.5080308737
329	0.5079583283
330	0.5078588574
331	0.5078193127
332	0.5077585527
333	0.5076883533
334	0.5075985901
335	0.5075301934
336	0.5074329121
337	0.5073446477
338	0.5072719921
339	0.5071952913
340	0.5071088987
341	0.5070681403
342	0.507015148
343	0.5069221918
344	0.5068456001
345	0.5067800896
346	0.5066405918
347	0.506579482
348	0.5064797347
349	0.5064256936
350	0.5063827076
351	0.5063209635
352	0.5062694674
353	0.5061763325
354	0.5060943561
355	0.5060289392
356	0.5059397794
357	0.505877837
358	0.5058184718
359	0.5057828775
360	0.5057249417
361	0.5056768281
362	0.5056437965
363	0.5056143646
364	0.5055463734
365	0.5054595019
366	0.5054291159
367	0.5053527716
368	0.5052944819
369	0.5052504281
370	0.5051483852
371	0.5051106642
372	0.5050870456
373	0.5050390241
374	0.5049828875
375	0.5048691026
376	0.5048267191
377	0.5047690884
378	0.5047080929
379	0.504627933
380	0.5046027437
381	0.5045726947
382	0.5045284847
383	0.5044758831
384	0.5044234505
385	0.5043586046
386	0.5042568281
387	0.5041874519
388	0.5041474349
389	0.5040499089
390	0.5040030437
391	0.5039263958
392	0.5038292671
393	0.5037349699
394	0.5036732203
395	0.503601358
396	0.5035442641
397	0.5034869285
398	0.5034145029
399	0.5033634979
400	0.5033042693
401	0.5032367008
402	0.5031539105
403	0.5030696987
404	0.5029749167
405	0.5029230654
406	0.5028579276
407	0.5027521142
408	0.5027122159
409	0.5026600289
410	0.5026388466
411	0.5025228393
412	0.5024446613
413	0.5023791461
414	0.5023156634
415	0.5022781212
416	0.5022287261
417	0.5021770175
418	0.5021219779
419	0.5020440783
420	0.5020043713
421	0.5019677334
422	0.5019140767
423	0.5018722447
424	0.5018261563
425	0.5017738293
426	0.5017137419
427	0.5016354203
428	0.5015675852
429	0.501528676
430	0.5014742755
431	0.5014273543
432	0.50139663
433	0.5013641621
434	0.5013267503
435	0.5012669901
436	0.5012183802
437	0.5011863139
438	0.5011289926
439	0.501086517
440	0.5010449596
441	0.5009863359
442	0.5009541729
443	0.5009011302
444	0.5008467703
445	0.5007924851
446	0.5007370571
447	0.5007037074
448	0.5006533315
449	0.5005989502
450	0.5005586049
451	0.5005112221
452	0.5004678222
453	0.5004096785
454	0.5003798539
455	0.5003370459
456	0.5002651686
457	0.5002463209
458	0.5001945985
459	0.5001730911
460	0.5001094321
461	0.5000951416
462	0.5000707374
463	0.4999914909
464	0.4999496091
465	0.4999025588
466	0.4998540167
467	0.499816173
468	0.49976793
469	0.4997253945
470	0.4996456833
471	0.4995752952
472	0.4995580808
473	0.4994840275
474	0.4994212185
475	0.4993683769
476	0.4993196771
477	0.4992370201
478	0.499205017
479	0.4991639891
480	0.4991069362
481	0.4990525404
482	0.4990280213
483	0.4989584173
484	0.4988797489
485	0.4988130812
486	0.4987390393
487	0.4986787312
488	0.4986333363
489	0.4985457303
490	0.4984933206
491	0.4984536763
492	0.4984282203
493	0.4983752979
494	0.4983364292
495	0.4983051857
496	0.4982818205
497	0.4982556059
498	0.4981681888
499	0.4980954274
